2026-05-19 05:04:40 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL coinex
2026-05-19 05:04:40 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL coinex
2026-05-19 05:04:40 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bingx
2026-05-19 05:04:40 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bybit
2026-05-19 05:04:40 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL binance
2026-05-19 05:04:46 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bitget
2026-05-19 05:04:46 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bybit
2026-05-19 05:04:46 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bitget
2026-05-19 05:04:46 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL coinex
2026-05-19 05:04:46 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL coinex
2026-05-19 05:04:46 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bingx
2026-05-19 05:04:46 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL binance
2026-05-19 05:04:46 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bybit
2026-05-19 05:04:52 | INFO | arbitrage | Arbitrage event created NEARUSDT BUY binance SELL kucoin spread=0.4845% net=0.2648% conf=59.7%
2026-05-19 05:04:52 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bybit
2026-05-19 05:04:52 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bitget
2026-05-19 05:04:52 | INFO | arbitrage | Arbitrage event created NEARUSDT BUY binance SELL gateio spread=0.4240% net=0.1064% conf=59.7%
2026-05-19 05:04:52 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bitget
2026-05-19 05:04:52 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL coinex
2026-05-19 05:04:52 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bingx
2026-05-19 05:04:52 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) INJUSDT BUY bingx SELL bitget conf=55.3%
2026-05-19 05:04:59 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL kucoin
2026-05-19 05:04:59 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL gateio
2026-05-19 05:04:59 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL coinex
2026-05-19 05:04:59 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bitget
2026-05-19 05:04:59 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bybit
2026-05-19 05:04:59 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bitget
2026-05-19 05:04:59 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) NEARUSDT BUY binance SELL bitget conf=35.5%
2026-05-19 05:04:59 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) NEARUSDT BUY binance SELL bybit conf=37.5%
2026-05-19 05:05:06 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL kucoin
2026-05-19 05:05:06 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bybit
2026-05-19 05:05:06 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bitget
2026-05-19 05:05:06 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL gateio
2026-05-19 05:05:06 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL coinex
2026-05-19 05:05:06 | INFO | arbitrage | Arbitrage event created INJUSDT BUY bingx SELL kucoin spread=0.3167% net=0.1002% conf=56.7%
2026-05-19 05:05:06 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL binance
2026-05-19 05:05:06 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) INJUSDT BUY bingx SELL binance conf=57.5%
2026-05-19 05:05:06 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) INJUSDT BUY bingx SELL bybit conf=55.3%
2026-05-19 05:05:06 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) NEARUSDT BUY binance SELL coinex conf=32.2%
2026-05-19 05:05:12 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL kucoin
2026-05-19 05:05:12 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bybit
2026-05-19 05:05:12 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL gateio
2026-05-19 05:05:12 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL coinex
2026-05-19 05:05:12 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bitget
2026-05-19 05:05:12 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bitget
2026-05-19 05:05:12 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL kucoin
2026-05-19 05:05:12 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) INJUSDT BUY bingx SELL coinex conf=55.3%
2026-05-19 05:05:12 | INFO | arbitrage | Arbitrage event skipped Telegram (low confidence) NEARUSDT BUY binance SELL bingx conf=32.9%
2026-05-19 05:05:17 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL kucoin
2026-05-19 05:05:17 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL gateio
2026-05-19 05:05:17 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL coinex
2026-05-19 05:05:17 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bybit
2026-05-19 05:05:17 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bitget
2026-05-19 05:05:17 | INFO | arbitrage | Arbitrage event created DOGEUSDT BUY bitget SELL bingx spread=0.3175% net=0.1143% conf=41.2%
